task_id,stage,unit_id,relevance_label,reason
task-async-form,plan,async-explicit-states,2,Remote API implies loading/error/empty states. stage=plan.
task-async-form,plan,async-stale-cancel,1,Async validation can return stale responses. stage=plan.
task-async-form,plan,async-retry-recover,2,Recoverable API errors should allow retry. stage=plan.
task-async-form,plan,list-pagination-server,0,Not implied by task scope. stage=plan.
task-async-form,plan,list-virtualize-window,0,Not implied by task scope. stage=plan.
task-async-form,plan,list-incremental-prefetch,0,Not implied by task scope. stage=plan.
task-async-form,plan,form-duplicate-submit-guard,3,Form submit must prevent duplicates. stage=plan.
task-async-form,plan,form-async-validation-feedback,3,Async validation is explicitly required. stage=plan.
task-async-form,plan,form-submit-recovery,3,Remote submit should preserve input on failure. stage=plan.
task-async-form,plan,state-optimistic-rollback,0,Not implied by task scope. stage=plan.
task-async-form,plan,state-cache-invalidation,0,Not implied by task scope. stage=plan.
task-async-form,plan,state-stale-response-guard,1,Async checks can arrive out of order. stage=plan.
task-async-form,plan,ux-error-boundary-granularity,0,Not implied by task scope. stage=plan.
task-async-form,plan,ux-empty-state-actionable,1,Form errors should guide next steps. stage=plan.
task-async-form,plan,ux-fallback-recoverable-errors,1,Recoverable errors may use non-blocking feedback. stage=plan.
task-async-form,plan,responsive-mobile-navigation-density,0,Not implied by task scope. stage=plan.
task-async-form,plan,responsive-long-text-overflow,0,Not implied by task scope. stage=plan.
task-async-form,plan,responsive-dense-dashboard-layout,0,Not implied by task scope. stage=plan.
task-async-form,coding,async-explicit-states,2,Remote API implies loading/error/empty states. stage=coding.
task-async-form,coding,async-stale-cancel,1,Async validation can return stale responses. stage=coding.
task-async-form,coding,async-retry-recover,2,Recoverable API errors should allow retry. stage=coding.
task-async-form,coding,list-pagination-server,0,Not implied by task scope. stage=coding.
task-async-form,coding,list-virtualize-window,0,Not implied by task scope. stage=coding.
task-async-form,coding,list-incremental-prefetch,0,Not implied by task scope. stage=coding.
task-async-form,coding,form-duplicate-submit-guard,3,Form submit must prevent duplicates. stage=coding.
task-async-form,coding,form-async-validation-feedback,3,Async validation is explicitly required. stage=coding.
task-async-form,coding,form-submit-recovery,3,Remote submit should preserve input on failure. stage=coding.
task-async-form,coding,state-optimistic-rollback,0,Not implied by task scope. stage=coding.
task-async-form,coding,state-cache-invalidation,0,Not implied by task scope. stage=coding.
task-async-form,coding,state-stale-response-guard,1,Async checks can arrive out of order. stage=coding.
task-async-form,coding,ux-error-boundary-granularity,0,Not implied by task scope. stage=coding.
task-async-form,coding,ux-empty-state-actionable,1,Form errors should guide next steps. stage=coding.
task-async-form,coding,ux-fallback-recoverable-errors,1,Recoverable errors may use non-blocking feedback. stage=coding.
task-async-form,coding,responsive-mobile-navigation-density,0,Not implied by task scope. stage=coding.
task-async-form,coding,responsive-long-text-overflow,0,Not implied by task scope. stage=coding.
task-async-form,coding,responsive-dense-dashboard-layout,0,Not implied by task scope. stage=coding.
task-list-page,plan,async-explicit-states,3,Remote list data needs loading/error/empty states. stage=plan.
task-list-page,plan,async-stale-cancel,2,Search/filter changes can trigger stale requests. stage=plan.
task-list-page,plan,async-retry-recover,2,List fetch failures should be recoverable. stage=plan.
task-list-page,plan,list-pagination-server,3,List implies server pagination for scale. stage=plan.
task-list-page,plan,list-virtualize-window,1,Large lists might need virtualization. stage=plan.
task-list-page,plan,list-incremental-prefetch,1,Infinite loading may be a secondary option. stage=plan.
task-list-page,plan,form-duplicate-submit-guard,0,Not implied by task scope. stage=plan.
task-list-page,plan,form-async-validation-feedback,0,Not implied by task scope. stage=plan.
task-list-page,plan,form-submit-recovery,0,Not implied by task scope. stage=plan.
task-list-page,plan,state-optimistic-rollback,0,Not implied by task scope. stage=plan.
task-list-page,plan,state-cache-invalidation,0,Not implied by task scope. stage=plan.
task-list-page,plan,state-stale-response-guard,3,Search/filter changes can race responses. stage=plan.
task-list-page,plan,ux-error-boundary-granularity,0,Not implied by task scope. stage=plan.
task-list-page,plan,ux-empty-state-actionable,2,Search/filter may yield empty results. stage=plan.
task-list-page,plan,ux-fallback-recoverable-errors,0,Not implied by task scope. stage=plan.
task-list-page,plan,responsive-mobile-navigation-density,0,Not implied by task scope. stage=plan.
task-list-page,plan,responsive-long-text-overflow,1,Tables may contain long identifiers. stage=plan.
task-list-page,plan,responsive-dense-dashboard-layout,0,Not implied by task scope. stage=plan.
task-list-page,coding,async-explicit-states,3,Remote list data needs loading/error/empty states. stage=coding.
task-list-page,coding,async-stale-cancel,2,Search/filter changes can trigger stale requests. stage=coding.
task-list-page,coding,async-retry-recover,2,List fetch failures should be recoverable. stage=coding.
task-list-page,coding,list-pagination-server,3,List implies server pagination for scale. stage=coding.
